Country,Population,Birth_Rate,Life_expectancy,Latitude,Longitude,continent,date,total_cases,total_deaths,total_vaccinations,total_tests,new_cases,2022_Population,2020_Population,Rank,Growth_Rate,Area,Density
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/25/2020,394391,3186,251834,7527018,4713,9038309,8757489,98,1.0155,20770,435.1617
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/26/2020,46678,421,119,2657551,430,5434319,5379839,120,1.0058,323802,16.7828
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/26/2020,2063,38,0,20003,29,39327,38756,216,1.0074,160,245.7937
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/26/2020,19149303,337563,2971927,249562390,226971,338289857,335942003,3,1.0038,9372610,36.0935
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/26/2020,554321,15957,48808,17533075,5377,38454327,37888705,39,1.0078,9984670,3.8513
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/26/2020,35819,515,33,831951,399,1850651,1897052,151,0.9876,64559,28.666
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/26/2020,91518,351,51556,2309696,214,1472233,1477469,154,1.0061,765,1924.4876
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/26/2020,151167,1153,28,10097092,1834,5882261,5825641,115,1.0048,43094,136.4984
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/26/2020,598394,16404,8340,6301619,2563,19603733,19300315,65,1.0057,756102,25.9274
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/26/2020,398664,3210,284441,7590279,4273,9038309,8757489,98,1.0155,20770,435.1617
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/26/2020,428197,7432,1132,3165374,0,8740472,8638613,101,1.0056,41284,211.7157
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/27/2020,36330,559,38,837005,511,1850651,1897052,151,0.9876,64559,28.666
Slovenia,"2,087,946",9.4,81,46.151241,14.995463,Europe,12/27/2020,114806,2565,6199,656971,622,2119844,2117641,148,1.0002,20273,104.5649
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/27/2020,153347,1174,5812,10164249,2180,5882261,5825641,115,1.0048,43094,136.4984
France,"67,059,887",11.3,82.5,46.227638,2.213749,Europe,12/27/2020,2599937,62758,582,34393702,8867,64626628,64480053,23,1.0015,551695,117.1419
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/27/2020,47059,421,136,2667867,381,5434319,5379839,120,1.0058,323802,16.7828
Lithuania,"2,786,844",10,75.7,55.169438,23.881275,Europe,12/27/2020,131601,1613,2417,1589026,1687,2750055,2820267,141,0.9869,65300,42.1142
Romania,"19,356,544",9.6,75.4,45.943161,24.96676,Europe,12/27/2020,615809,15230,965,4718625,2049,19659267,19442038,64,1.0171,238391,82.4665
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/27/2020,401470,3226,388977,7660920,2806,9038309,8757489,98,1.0155,20770,435.1617
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/27/2020,559865,16114,52419,17632876,5544,38454327,37888705,39,1.0078,9984670,3.8513
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/27/2020,428197,7536,1132,3178178,0,8740472,8638613,101,1.0056,41284,211.7157
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/27/2020,91733,351,53614,2317781,215,1472233,1477469,154,1.0061,765,1924.4876
Germany,"83,132,799",9.5,80.9,51.165691,10.451526,Europe,12/27/2020,1658639,30297,24375,35172907,12399,83369843,83328988,19,0.9995,357114,233.4544
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/27/2020,19285070,339001,3068566,250512351,135767,338289857,335942003,3,1.0038,9372610,36.0935
Italy,"60,297,396",7.3,82.9,41.87194,12.56738,Europe,12/27/2020,2047696,71925,7345,26046137,8937,59037474,59500579,25,0.9966,301336,195.9191
Mexico,"126,014,024",17.6,75,23.634501,-102.552784,North America,12/27/2020,1383434,122426,6824,3309084,6217,127504125,125998302,10,1.0063,1964375,64.9082
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/27/2020,2086,39,0,20129,23,39327,38756,216,1.0074,160,245.7937
Estonia,"1,331,824",10.9,78.2,58.595272,25.013607,Europe,12/27/2020,25392,204,191,620116,365,1326062,1329444,156,0.998,45227,29.3201
Portugal,"10,269,417",8.5,81.3,39.399872,-8.224454,Europe,12/27/2020,394573,6619,4963,5521565,1577,10270865,10298192,92,0.9981,92090,111.5307
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/27/2020,600105,16443,8649,6328916,1711,19603733,19300315,65,1.0057,756102,25.9274
Slovenia,"2,087,946",9.4,81,46.151241,14.995463,Europe,12/28/2020,115327,2595,7885,662648,521,2119844,2117641,148,1.0002,20273,104.5649
Poland,"37,970,874",10.2,77.6,51.919438,19.145136,Europe,12/28/2020,1261010,27147,2000,6834271,3211,39857145,38428366,37,1.0404,312679,127.4698
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/28/2020,438284,7609,2760,3207074,10087,8740472,8638613,101,1.0056,41284,211.7157
Luxembourg,"645,397",10.3,82.1,49.815273,6.129583,Europe,12/28/2020,45849,487,452,1629740,640,647599,630399,168,1.0129,2586,250.425
France,"67,059,887",11.3,82.5,46.227638,2.213749,Europe,12/28/2020,2602897,63121,1219,34791440,2960,64626628,64480053,23,1.0015,551695,117.1419
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/28/2020,602028,16443,8649,6352407,1923,19603733,19300315,65,1.0057,756102,25.9274
Hungary,"9,769,949",9.6,75.8,47.162494,19.503304,Europe,12/28/2020,316669,9161,1094,2185145,609,9967308,9750573,94,1.0265,93028,107.1431
Kuwait,"4,207,083",13.94,75.4,29.31166,47.481766,Asia,12/28/2020,149857,932,2500,1245528,204,4268873,4360444,129,1.0044,17818,239.5821
Lithuania,"2,786,844",10,75.7,55.169438,23.881275,Europe,12/28/2020,133395,1652,5214,1600698,1794,2750055,2820267,141,0.9869,65300,42.1142
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/28/2020,19458662,340878,3659043,251822318,173592,338289857,335942003,3,1.0038,9372610,36.0935
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/28/2020,155826,1204,7726,10276510,2479,5882261,5825641,115,1.0048,43094,136.4984
Portugal,"10,269,417",8.5,81.3,39.399872,-8.224454,Europe,12/28/2020,396666,6677,7754,5555653,2093,10270865,10298192,92,0.9981,92090,111.5307
Estonia,"1,331,824",10.9,78.2,58.595272,25.013607,Europe,12/28/2020,25808,213,509,624577,416,1326062,1329444,156,0.998,45227,29.3201
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/28/2020,2115,40,0,20412,29,39327,38756,216,1.0074,160,245.7937
Mexico,"126,014,024",17.6,75,23.634501,-102.552784,North America,12/28/2020,1389430,122855,9579,3349675,5996,127504125,125998302,10,1.0063,1964375,64.9082
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/28/2020,407285,3256,523959,7759801,5815,9038309,8757489,98,1.0155,20770,435.1617
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/28/2020,91935,351,55014,2326844,202,1472233,1477469,154,1.0061,765,1924.4876
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/28/2020,47585,429,762,2689645,526,5434319,5379839,120,1.0058,323802,16.7828
Italy,"60,297,396",7.3,82.9,41.87194,12.56738,Europe,12/28/2020,2056277,72370,8850,26114818,8581,59037474,59500579,25,0.9966,301336,195.9191
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/28/2020,566135,16224,59041,17708419,6270,38454327,37888705,39,1.0078,9984670,3.8513
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/28/2020,36838,578,644,841442,508,1850651,1897052,151,0.9876,64559,28.666
Greece,"10,716,322",8.1,81.3,39.074208,21.824312,Europe,12/28/2020,135931,4672,447,3283621,475,10384971,10512232,90,0.9942,131990,78.68
Belgium,"11,484,055",10.3,81.6,50.503887,4.469936,Europe,12/28/2020,639734,19234,339,6862067,857,11655930,11561717,81,1.0038,30528,381.8111
Belarus,"9,466,856",9.9,74.2,53.709807,27.953389,Europe,12/28/2020,188588,1394,0,3924079,1841,9534954,9633740,96,0.9955,207600,45.9295
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/29/2020,575540,16436,72057,17786792,9405,38454327,37888705,39,1.0078,9984670,3.8513
Bulgaria,"6,975,761",8.9,74.9,42.733883,25.48583,Europe,12/29/2020,199491,7405,1719,1132996,1438,6781953,6979175,108,0.9849,110879,61.1654
Mexico,"126,014,024",17.6,75,23.634501,-102.552784,North America,12/29/2020,1401529,123845,18529,3390362,12099,127504125,125998302,10,1.0063,1964375,64.9082
Argentina,"44,938,712",17.02,76.5,-38.416097,-63.616672,South America,12/29/2020,1602163,43018,700,5039341,11650,45510318,45036032,33,1.0052,2780400,16.3683
Belgium,"11,484,055",10.3,81.6,50.503887,4.469936,Europe,12/29/2020,641411,19361,379,6903539,1677,11655930,11561717,81,1.0038,30528,381.8111
Luxembourg,"645,397",10.3,82.1,49.815273,6.129583,Europe,12/29/2020,46088,489,800,1638589,239,647599,630399,168,1.0129,2586,250.425
France,"67,059,887",11.3,82.5,46.227638,2.213749,Europe,12/29/2020,2614292,64090,1583,35157561,11395,64626628,64480053,23,1.0015,551695,117.1419
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/29/2020,37676,603,1523,852649,838,1850651,1897052,151,0.9876,64559,28.666
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/29/2020,92169,351,56041,2335470,234,1472233,1477469,154,1.0061,765,1924.4876
Romania,"19,356,544",9.6,75.4,45.943161,24.96676,Europe,12/29/2020,623066,15469,2778,4751057,4637,19659267,19442038,64,1.0171,238391,82.4665
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/29/2020,19661234,344494,4380426,253709585,202572,338289857,335942003,3,1.0038,9372610,36.0935
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/29/2020,603986,16488,8649,6374797,1958,19603733,19300315,65,1.0057,756102,25.9274
Estonia,"1,331,824",10.9,78.2,58.595272,25.013607,Europe,12/29/2020,26283,221,876,631248,475,1326062,1329444,156,0.998,45227,29.3201
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/29/2020,158447,1226,15901,10394399,2621,5882261,5825641,115,1.0048,43094,136.4984
Lithuania,"2,786,844",10,75.7,55.169438,23.881275,Europe,12/29/2020,135503,1695,8194,1615325,2108,2750055,2820267,141,0.9869,65300,42.1142
Greece,"10,716,322",8.1,81.3,39.074208,21.824312,Europe,12/29/2020,136976,4730,1077,3315550,1045,10384971,10512232,90,0.9942,131990,78.68
Portugal,"10,269,417",8.5,81.3,39.399872,-8.224454,Europe,12/29/2020,400002,6751,20368,5600537,3336,10270865,10298192,92,0.9981,92090,111.5307
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/29/2020,412398,3292,680209,7858556,5113,9038309,8757489,98,1.0155,20770,435.1617
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/29/2020,48278,433,1853,2708977,693,5434319,5379839,120,1.0058,323802,16.7828
Italy,"60,297,396",7.3,82.9,41.87194,12.56738,Europe,12/29/2020,2067487,73029,9948,26243558,11210,59037474,59500579,25,0.9966,301336,195.9191
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/29/2020,2153,41,0,20612,38,39327,38756,216,1.0074,160,245.7937
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/29/2020,442481,7703,4456,3236525,4197,8740472,8638613,101,1.0056,41284,211.7157
Slovenia,"2,087,946",9.4,81,46.151241,14.995463,Europe,12/29/2020,117305,2631,9211,668412,1978,2119844,2117641,148,1.0002,20273,104.5649
Poland,"37,970,874",10.2,77.6,51.919438,19.145136,Europe,12/29/2020,1268634,27454,6300,6867381,7624,39857145,38428366,37,1.0404,312679,127.4698
Luxembourg,"645,397",10.3,82.1,49.815273,6.129583,Europe,12/30/2020,46415,495,1251,1647196,327,647599,630399,168,1.0129,2586,250.425
Estonia,"1,331,824",10.9,78.2,58.595272,25.013607,Europe,12/30/2020,27256,226,1889,637091,973,1326062,1329444,156,0.998,45227,29.3201
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/30/2020,2190,43,0,20803,37,39327,38756,216,1.0074,160,245.7937
Poland,"37,970,874",10.2,77.6,51.919438,19.145136,Europe,12/30/2020,1281414,28019,36300,6902450,12780,39857145,38428366,37,1.0404,312679,127.4698
Croatia,"4,067,500",9,78.1,45.1,15.2,Europe,12/30/2020,208446,3860,7864,1010668,1850,4030358,4096868,130,0.9927,56594,71.2153
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/30/2020,161230,1256,26375,10505779,2783,5882261,5825641,115,1.0048,43094,136.4984
Lithuania,"2,786,844",10,75.7,55.169438,23.881275,Europe,12/30/2020,139487,1740,9725,1629378,3984,2750055,2820267,141,0.9869,65300,42.1142
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/30/2020,49010,436,2322,2728079,732,5434319,5379839,120,1.0058,323802,16.7828
